index,text,date,year
839,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
840,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
841,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
842,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
843,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
844,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
845,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
846,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
847,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
848,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
849,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
850,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
851,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
852,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
853,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
854,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
855,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
856,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
857,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
858,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
859,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
860,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
861,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
862,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
863,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
864,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
865,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
866,"As many as 40 Shramik special trains have been delayed,1 took 9 days to reach & 80 deaths reported so far. I suggest HPM to let Mr Goyal be Minister without portfolio as we hv nvr heard of such mess in Indian  Railways ever before. Let him concentrate on fundraising for BJP only","May 30, 2020",2020
867,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
868,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
869,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
870,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
871,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
872,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
873,"As many as 40 Shramik special trains have been delayed,1 took 9 days to reach & 80 deaths reported so far. I suggest HPM to let Mr Goyal be Minister without portfolio as we hv nvr heard of such mess in Indian  Railways ever before. Let him concentrate on fundraising for BJP only","May 30, 2020",2020
874,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
875,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
876,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
877,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
878,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
879,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
880,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
881,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
882,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
883,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
884,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
885,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
886,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
887,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
888,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
889,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
890,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
891,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
892,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
893,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
894,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
895,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
896,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
897,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
898,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
899,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
900,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
901,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
902,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
903,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
904,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
905,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
906,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
907,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
908,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
909,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
910,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
911,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
912,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
913,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
914,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
915,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
916,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
917,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
918,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
919,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
920,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
921,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
922,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
923,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
924,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
925,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
926,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
927,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
928,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
929,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
930,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
931,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
932,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
933,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
934,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
935,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
936,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
937,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
938,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
939,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
940,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
941,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
942,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
943,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
944,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
945,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
946,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
947,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
948,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
949,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
950,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
951,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
952,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
953,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
954,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
955,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
956,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
957,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
958,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
959,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
960,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
961,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
962,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
963,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
964,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
965,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
966,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
967,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
968,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
969,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
970,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
971,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
972,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
973,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
974,"Greetings and warm wishes to @PiyushGoyal ji on his birthday. He is working tirelessly to change the face of the Indian  Railways and strengthen our nation’s capabilities for trade and commerce. 

May he be blessed with good health and a long life in service to the nation.","Jun 13, 2020",2020
975,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
976,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
977,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
978,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
979,"#NoToPrivatisationOfRailway  #रेलवे_का_निजीकरण_बंद_करो  Indian  Railways gives many concessions to senior citizens, women, sportspersons, sick,blind persons, social workers & journalists, all these will be stopped if privatisation done.","Aug 30, 2020",2020
980,"Sad news. MoS Railways Suresh Angadi (65) passes away due to #COVID19 in #AIIMS , New Delhi. He is the second Indian parliamentarian to have died due to Corona Virus. #RIP","Sep 23, 2020",2020
981,"Indian  Railways utilised the Covid-19 lockdown period to complete 200 pending maintenance projects.

It also includes 82 rebuilding/rehabilitation of bridges.

Now, first time in the world, Indian  Railways sets up solar plant in Bina to directly power railway overhead line.","Jul 6, 2020",2020
982,India's GDP is -23.9%. This is surely an unbreakable record in indian economy history. #RailApprenticeAsking4Justice  @PiyushGoyal  @narendramodi   @RailMinIndia,"Nov 22, 2020",2020
983,Indian  Railways through its 21 Railway Recruitment Boards (RRBs) is organising mega recruitment drive in three phases starting from December 16 for filling up about 1.4 lakh vacancies: Government of India,"Dec 15, 2020",2020
984,"The Modi Mafia has destroyed Indian Economy & Indian  Railways . But who out of the two is the worst minister:

A) @nsitharaman B) @PiyushGoyal  #भटकी_रेल_EconomyFail","May 31, 2020",2020
985,"To provide relief to migrant labour, Indian  Railways is ready to run ""Shramik Special"" trains from any District in the Country. District Collectors should prepare lists of stranded labour & destination and apply to Railways through the State nodal officer.","May 16, 2020",2020
986,Why are the Indian  Railways charging the already distressed stranded workers for their travel? @PMOIndia,"May 4, 2020",2020
